#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: DDiscovery
#Serial Number: SN:210321B565AC
#Date Time: 2024-03-17 21:23:40.612.472.220
#Sample rate: 29994Hz
#Samples: 30000

Time (s),SPI MOSI,SPI MISO
-0.29002466,h00,h00
-0.28999132,h00,h00
-0.28995798,h00,h00
-0.28992464,h00,h00
-0.2898913,h00,h00
-0.28985796,h00,h00
-0.28982462,h00,h00
-0.28979128,h00,h00
-0.28975794,h00,h00
-0.2897246,h00,h00
-0.28969126,h00,h00
-0.28965792,h00,h00
-0.28962458,h00,h00
-0.28959124,h00,h00
-0.2895579,h00,h00
-0.28952456,h00,h00
-0.28949122,h00,h00
-0.28945788,h00,h00
-0.28942454,h00,h00
-0.2893912,h00,h00
-0.28935786,h00,h00
-0.28932452,h00,h00
-0.28929118,h00,h00
-0.28925784,h00,h00
-0.2892245,h00,h00
-0.28919116,h00,h00
-0.28915782,h00,h00
-0.28912448,h00,h00
-0.28909114,h00,h00
-0.2890578,h00,h00
-0.28902446,h00,h00
-0.28899112,h00,h00
-0.28895778,h00,h00
-0.28892444,h00,h00
-0.2888911,h00,h00
-0.28885776,h00,h00
-0.28882442,h00,h00
-0.28879108,h00,h00
-0.28875774,h00,h00
-0.2887244,h00,h00
-0.28869106,h00,h00
-0.28865772,h00,h00
-0.28862438,h00,h00
-0.28859104,h00,h00
-0.2885577,h00,h00
-0.28852436,h00,h00
-0.28849102,h00,h00
-0.28845768,h00,h00
-0.28842434,h00,h00
-0.288391,h00,h00
-0.28835766,h00,h00
-0.28832432,h00,h00
-0.28829098,h00,h00
-0.28825764,h00,h00
-0.2882243,h00,h00
-0.28819096,h00,h00
-0.28815762,h00,h00
-0.28812428,h00,h00
-0.28809094,h00,h00
-0.2880576,h00,h00
-0.28802426,h00,h00
-0.28799092,h00,h00
-0.28795758,h00,h00
-0.28792424,h00,h00
-0.2878909,h00,h00
-0.28785756,h00,h00
-0.28782422,h00,h00
-0.28779088,h00,h00
-0.28775754,h00,h00
-0.2877242,h00,h00
-0.28769086,h00,h00
-0.28765752,h00,h00
-0.28762418,h00,h00
-0.28759084,h00,h00
-0.2875575,h00,h00
-0.28752416,h00,h00
-0.28749082,h00,h00
-0.28745748,h00,h00
-0.28742414,h00,h00
-0.2873908,h00,h00
-0.28735746,h00,h00
-0.28732412,h00,h00
-0.28729078,h00,h00
-0.28725744,? h0,? h0
-0.2872241,? h0,? h0
-0.28719076,? h0,? h0
-0.28715742,? h0,? h0
-0.28712408,? h0,? h0
